ITEM: TIMESTEP
15000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.4573366857295520e+00 6.1861463507472472e+01 5.5225504714569587e+00
1.2906956271741228e+00 8.7804850861747298e+01 4.7535763502863322e+00
-6.2691553259668564e-01 1.1362208153259830e+02 2.7163077488921520e+01
ITEM: ATOMS id mol type x y z ix iy iz 
269 8 2 6.11709 70.6937 47.7905 0 -1 0 
270 8 2 6.9736 71.2451 45.5606 0 -1 0 
271 8 1 1.47189 12.1526 42.9521 0 0 0 
272 8 1 1.40767 12.1638 41.5101 0 0 0 
273 8 1 2.45697 12.5679 40.7162 0 0 0 
274 8 1 2.28984 12.7498 39.3603 0 0 0 
275 8 1 3.37408 13.191 38.6136 0 0 0 
276 8 1 3.24821 13.5052 37.3137 0 0 0 
277 8 1 2.02 13.2855 36.7184 0 0 0 
278 8 1 0.981648 12.6563 37.3873 0 0 0 
279 8 1 1.08651 12.4313 38.7585 0 0 0 
280 8 1 53.0681 11.8679 39.5338 -1 0 0 
281 8 1 5.93911 71.0119 43.7116 0 -1 0 
282 8 2 2.35049 12.4776 43.5124 0 0 0 
283 8 2 3.42388 12.7816 41.1782 0 0 0 
284 8 2 4.37373 13.3436 39.0632 0 0 0 
285 8 2 4.15073 13.8247 36.71 0 0 0 
286 8 2 1.98547 13.3808 35.6179 0 0 0 
287 8 2 53.0934 12.4507 36.8744 -1 0 0 
288 8 2 52.1403 11.5098 39.045 -1 0 0 
289 9 1 5.09309 17.7782 57.4953 0 0 0 
290 9 1 4.1241 17.8216 58.523 0 0 0 
291 9 1 4.34615 17.2134 59.7312 0 0 0 
292 9 1 3.39242 17.2236 60.7645 0 0 0 
293 9 1 3.67503 16.7199 62.0227 0 0 0 
294 9 1 2.66123 16.7788 63.0298 0 0 0 
295 9 1 1.4041 17.348 62.7075 0 0 0 
296 9 1 54.1974 17.8783 61.4269 -1 0 0 
297 9 1 2.18141 17.8194 60.4634 0 0 0 
298 9 1 1.93765 18.5003 59.2411 0 0 0 
299 9 1 4.9443 18.3635 56.2403 0 0 0 
300 9 2 5.97567 17.2194 57.6145 0 0 0 
301 9 2 5.23854 16.6062 59.9175 0 0 0 
302 9 2 4.6386 16.2772 62.2834 0 0 0 
303 9 2 8.25655 75.6167 63.9961 0 -1 0 
304 9 2 53.6332 17.2497 63.3944 -1 0 0 
305 9 2 53.2598 18.3519 61.1837 -1 0 0 
306 9 2 54.0314 18.9624 59.037 -1 0 0 
307 9 1 2.68695 18.901 56.9665 0 0 0 
308 9 1 3.72357 18.9948 56.0291 0 0 0 
309 9 1 3.581 19.6186 54.7729 0 0 0 
310 9 1 4.56632 19.631 53.7387 0 0 0 
311 9 1 4.35828 20.2201 52.4689 0 0 0 
312 9 1 5.33369 20.0907 51.4816 0 0 0 
313 9 1 6.58309 19.4814 51.731 0 0 0 
314 9 1 6.78421 18.9717 53.0406 0 0 0 
315 9 1 5.7573 18.9961 54.0401 0 0 0 
316 9 1 5.98854 18.3732 55.2849 0 0 0 
317 9 1 2.92642 18.4086 58.2369 0 0 0 
318 9 2 1.76782 19.3931 56.7629 0 0 0 
319 9 2 2.71648 20.2314 54.5484 0 0 0 
320 9 2 3.38779 20.6208 52.259 0 0 0 
321 9 2 5.05485 20.4213 50.4458 0 0 0 
322 9 2 7.28143 19.3347 50.853 0 0 0 
323 9 2 7.72159 18.5713 53.2593 0 0 0 
324 9 2 6.93186 17.969 55.6027 0 0 0 
325 10 1 58.145 73.6778 56.1407 -1 -1 0 
326 10 1 58.2887 73.6194 57.5069 -1 -1 0 
327 10 1 57.2097 73.1213 58.2994 -1 -1 0 
328 10 1 57.3714 73.004 59.7087 -1 -1 0 
329 10 1 56.3715 72.4784 60.5647 -1 -1 0 
330 10 1 56.5263 72.5062 61.9651 -1 -1 0 
331 10 1 57.7299 72.9719 62.506 -1 -1 0 
332 10 1 58.7161 73.4666 61.6649 -1 -1 0 
333 10 1 58.559 73.4603 60.2723 -1 -1 0 
334 10 1 6.55243 73.9168 59.5245 0 -1 0 
335 10 1 53.6023 14.7888 55.2608 -1 0 0 
336 10 2 57.2544 73.2612 55.6733 -1 -1 0 
337 10 2 56.2445 72.9559 57.8986 -1 -1 0 
338 10 2 55.437 72.1113 60.078 -1 -1 0 
339 10 2 55.7252 72.1208 62.5599 -1 -1 0 
340 10 2 57.8822 73.0112 63.5515 -1 -1 0 
341 10 2 6.60411 73.8714 62.0786 0 -1 0 
342 10 2 7.46386 74.2239 59.9892 0 -1 0 
343 10 1 1.95785 15.2462 57.2519 0 0 0 
344 10 1 1.74242 15.1818 55.834 0 0 0 
345 10 1 2.80161 15.6682 55.0499 0 0 0 
346 10 1 2.67483 15.8065 53.6269 0 0 0 
347 10 1 3.71302 16.3449 52.8519 0 0 0 
348 10 1 3.50095 16.5488 51.5176 0 0 0 
349 10 1 2.25038 16.3218 50.897 0 0 0 
350 10 1 1.26155 15.6207 51.6436 0 0 0 
351 10 1 1.43823 15.3524 53.0346 0 0 0 
352 10 1 53.4258 14.7941 53.8582 -1 0 0 
353 10 1 59.4918 74.1332 58.0988 -1 -1 0 
