ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.2920507710863542e+00 6.1729010299258675e+01 5.5494495383062645e+00
1.1461529366084957e+00 8.7983299794646427e+01 4.7595099898656983e+00
-6.9822104248359396e-01 1.1369338704248413e+02 2.7196983731255067e+01
ITEM: ATOMS id mol type x y z ix iy iz 
408 12 2 57.1994 77.0419 70.4913 -1 -1 0 
409 12 2 56.3902 76.2369 72.7057 -1 -1 0 
410 12 2 55.6297 75.668 74.919 -1 -1 0 
411 12 2 55.8527 75.6695 77.338 -1 -1 0 
412 12 2 57.8111 76.4848 78.4141 -1 -1 0 
413 12 2 59.8404 77.233 76.9831 -1 -1 0 
414 12 2 8.02159 77.6989 74.8127 0 -1 0 
415 12 1 2.34581 18.3907 72.1437 0 0 0 
416 12 1 2.17606 18.5577 70.7317 0 0 0 
417 12 1 3.2243 19.1046 69.9828 0 0 0 
418 12 1 3.09662 19.3699 68.6007 0 0 0 
419 12 1 4.19752 19.7415 67.8077 0 0 0 
420 12 1 4.01917 19.8809 66.402 0 0 0 
421 12 1 2.82162 19.5923 65.8184 0 0 0 
422 12 1 54.4603 19.1098 66.6106 -1 0 0 
423 12 1 1.8453 19.0405 68.0398 0 0 0 
424 12 1 53.5076 18.4428 68.7826 -1 0 0 
425 12 1 59.5714 77.5338 72.9372 -1 -1 0 
426 12 2 8.92576 78.2605 72.5782 0 -1 0 
427 12 2 4.15682 19.3807 70.4617 0 0 0 
428 12 2 5.16835 19.9832 68.2763 0 0 0 
429 12 2 4.86357 20.3748 65.9006 0 0 0 
430 12 2 2.65988 19.6462 64.6977 0 0 0 
431 12 2 53.4876 18.8724 66.1959 -1 0 0 
432 12 2 52.5442 18.2046 68.29 -1 0 0 
433 13 1 6.86865 25.1648 84.8096 0 0 0 
434 13 1 5.86151 25.1501 85.7698 0 0 0 
435 13 1 6.0815 24.6752 87.0041 0 0 0 
436 13 1 5.00119 24.6516 87.8888 0 0 0 
437 13 1 5.25287 24.1992 89.2022 0 0 0 
438 13 1 4.18264 24.325 90.2104 0 0 0 
439 13 1 2.95381 24.8933 89.8139 0 0 0 
440 13 1 55.5007 25.3376 88.4632 -1 0 0 
441 13 1 3.77583 25.1852 87.4946 0 0 0 
442 13 1 3.55186 25.7242 86.2411 0 0 0 
443 13 1 6.70108 25.7671 83.5334 0 0 0 
444 13 2 7.79779 24.7264 85.0982 0 0 0 
445 13 2 7.06434 24.3527 87.4121 0 0 0 
446 13 2 6.27229 23.91 89.5065 0 0 0 
447 13 2 4.33312 23.9166 91.1434 0 0 0 
448 13 2 54.9113 25.095 90.5185 -1 0 0 
449 13 2 54.5501 25.8752 88.1947 -1 0 0 
450 13 2 55.2768 26.0683 85.9612 -1 0 0 
